data;loja;man;mercadoria;saida;chegada;val
12/02/2024;1381;20147;;08:40;10:30;90
12/02/2024;1481;20148;;08:40;10:30;90
14/02/2024;1113;20149;;08:40;10:30;90
14/02/2024;1119;20150;;08:40;10:30;90
14/02/2024;1655;20151;;08:40;10:30;90
15/02/2024;1242;20170;;08:40;10:30;90
15/02/2024;1153;20171;;08:40;10:30;90
15/02/2024;1201;20172;;08:40;10:30;180
16/02/2024;1363;20186;;08:40;10:30;90
16/02/2024;1426;20187;;08:40;10:30;90
17/02/2024;1242;20257;;08:40;10:30;90
17/02/2024;1119;20310;;08:40;10:30;90
17/02/2024;1113;20307;;08:40;10:30;90
